83,1
84,1
87,2
88,1
89,1
90,3
94,1
96,2
98,2
99,1
100,1
102,1
105,1
107,1
109,1
111,1
113,1
114,1
121,2
128,3
134,1
139,1
143,1
146,1
149,1
164,1
